nps_id,customer_sk,channel_sk,date_sk,score,comment
13000000000,1083,1,153.0,10,
13000000001,1383,1,71.0,5,Volvería a comprar
13000000002,179,1,102.0,10,Atención muy buena
13000000003,566,1,182.0,7,Todo perfecto
13000000004,1004,1,402.0,8,Atención muy buena
13000000005,1261,1,531.0,10,Tardó un poco más de lo esperado
13000000006,1376,1,110.0,6,Todo perfecto
13000000007,837,1,185.0,3,Volvería a comprar
13000000008,994,1,568.0,7,Todo perfecto
13000000009,192,1,104.0,8,Entrega rápida y producto excelente
13000000010,1330,1,309.0,6,
13000000011,442,2,550.0,0,Atención muy buena
13000000012,57,1,486.0,7,Atención muy buena
13000000013,559,1,585.0,8,Entrega rápida y producto excelente
13000000014,130,1,472.0,10,Muy conforme con la calidad
13000000015,238,2,178.0,4,Volvería a comprar
13000000016,629,1,473.0,8,Entrega rápida y producto excelente
13000000017,1162,2,141.0,7,Entrega rápida y producto excelente
13000000018,80,2,279.0,9,Entrega rápida y producto excelente
13000000019,1233,2,79.0,2,Muy conforme con la calidad
13000000020,217,1,223.0,2,Entrega rápida y producto excelente
13000000021,1015,2,597.0,5,Volvería a comprar
13000000022,1086,2,99.0,7,Atención muy buena
13000000023,692,1,28.0,9,Muy conforme con la calidad
13000000024,960,1,300.0,6,Podría mejorar el empaque
13000000025,695,2,455.0,2,Volvería a comprar
13000000026,438,1,524.0,10,Volvería a comprar
13000000027,564,1,494.0,9,Muy conforme con la calidad
13000000028,1261,1,511.0,7,Volvería a comprar
13000000029,1122,2,162.0,4,Atención muy buena
13000000030,1427,1,645.0,5,Muy conforme con la calidad
13000000031,661,1,243.0,10,Podría mejorar el empaque
13000000032,1055,2,405.0,8,Todo perfecto
13000000033,321,2,433.0,8,Podría mejorar el empaque
13000000034,500,1,204.0,10,Atención muy buena
13000000035,544,1,170.0,8,Volvería a comprar
13000000036,1405,2,205.0,8,Atención muy buena
13000000037,952,1,244.0,5,Podría mejorar el empaque
13000000038,128,2,364.0,3,Entrega rápida y producto excelente
13000000039,342,2,549.0,8,Tardó un poco más de lo esperado
13000000040,19,2,142.0,3,Podría mejorar el empaque
13000000041,189,1,204.0,8,Muy conforme con la calidad
13000000042,797,1,616.0,4,Todo perfecto
13000000043,1004,2,346.0,8,Entrega rápida y producto excelente
13000000044,426,2,455.0,9,Todo perfecto
13000000045,1026,1,591.0,8,Muy conforme con la calidad
13000000046,812,2,475.0,7,
13000000047,994,1,73.0,10,Entrega rápida y producto excelente
13000000048,1171,2,570.0,10,
13000000049,1207,2,451.0,2,Podría mejorar el empaque
13000000050,1467,1,323.0,8,Todo perfecto
13000000051,1484,2,158.0,8,Muy conforme con la calidad
13000000052,815,1,144.0,9,Atención muy buena
13000000053,500,1,187.0,9,Todo perfecto
13000000054,1048,2,351.0,10,
13000000055,19,1,105.0,7,Entrega rápida y producto excelente
13000000056,804,2,279.0,7,Podría mejorar el empaque
13000000057,500,2,297.0,9,Entrega rápida y producto excelente
13000000058,1179,2,535.0,7,Podría mejorar el empaque
13000000059,902,2,461.0,9,Entrega rápida y producto excelente
13000000060,548,1,62.0,6,Atención muy buena
13000000061,1335,1,15.0,9,Volvería a comprar
13000000062,903,1,206.0,10,
13000000063,807,1,482.0,8,Todo perfecto
13000000064,43,2,453.0,7,Tardó un poco más de lo esperado
13000000065,1189,2,486.0,8,Todo perfecto
13000000066,554,1,182.0,7,Entrega rápida y producto excelente
13000000067,1411,1,391.0,9,Podría mejorar el empaque
13000000068,990,1,49.0,2,Podría mejorar el empaque
13000000069,581,2,121.0,8,Entrega rápida y producto excelente
13000000070,1214,2,520.0,2,Muy conforme con la calidad
13000000071,1182,1,521.0,8,
13000000072,56,2,289.0,9,Muy conforme con la calidad
13000000073,1443,1,222.0,9,Muy conforme con la calidad
13000000074,822,1,268.0,9,Podría mejorar el empaque
13000000075,18,1,574.0,7,Atención muy buena
13000000076,436,1,347.0,8,Podría mejorar el empaque
13000000077,558,2,228.0,9,Volvería a comprar
13000000078,1202,2,482.0,9,Todo perfecto
13000000079,1412,2,280.0,0,Podría mejorar el empaque
13000000080,1336,2,427.0,6,Tardó un poco más de lo esperado
13000000081,1336,1,625.0,7,Muy conforme con la calidad
13000000082,1224,2,344.0,10,
13000000083,859,1,210.0,9,Atención muy buena
13000000084,818,1,28.0,10,Volvería a comprar
13000000085,816,2,300.0,6,Entrega rápida y producto excelente
13000000086,653,1,290.0,9,Muy conforme con la calidad
13000000087,1056,1,349.0,8,Tardó un poco más de lo esperado
13000000088,1037,1,36.0,7,Entrega rápida y producto excelente
13000000089,959,2,363.0,8,Podría mejorar el empaque
13000000090,1406,1,363.0,6,Atención muy buena
13000000091,1296,1,549.0,9,Entrega rápida y producto excelente
13000000092,629,1,593.0,5,Atención muy buena
13000000093,439,2,66.0,4,Tardó un poco más de lo esperado
13000000094,1423,1,610.0,8,Todo perfecto
13000000095,1336,2,150.0,8,Podría mejorar el empaque
13000000096,1453,2,602.0,6,
13000000097,722,1,220.0,8,Podría mejorar el empaque
13000000098,616,1,221.0,10,Volvería a comprar
13000000099,1104,1,228.0,10,Todo perfecto
13000000100,1004,1,291.0,4,Tardó un poco más de lo esperado
13000000101,304,2,99.0,9,Podría mejorar el empaque
13000000102,114,2,14.0,10,Atención muy buena
13000000103,248,2,282.0,9,Entrega rápida y producto excelente
13000000104,208,1,139.0,5,Podría mejorar el empaque
13000000105,445,1,20.0,10,Tardó un poco más de lo esperado
13000000106,1304,2,45.0,10,Volvería a comprar
13000000107,1493,1,242.0,7,Muy conforme con la calidad
13000000108,1123,1,235.0,8,Entrega rápida y producto excelente
13000000109,174,2,571.0,5,Podría mejorar el empaque
13000000110,825,1,592.0,8,Podría mejorar el empaque
13000000111,1120,2,532.0,4,Todo perfecto
13000000112,1101,1,12.0,3,Atención muy buena
13000000113,659,2,41.0,7,Tardó un poco más de lo esperado
13000000114,1379,1,23.0,7,Tardó un poco más de lo esperado
13000000115,550,2,629.0,9,Volvería a comprar
13000000116,1177,1,74.0,7,Todo perfecto
13000000117,1149,1,524.0,9,Todo perfecto
13000000118,236,1,519.0,9,Volvería a comprar
13000000119,226,1,400.0,9,Volvería a comprar
13000000120,850,2,407.0,6,Entrega rápida y producto excelente
13000000121,599,1,293.0,8,Volvería a comprar
13000000122,1230,2,595.0,9,Entrega rápida y producto excelente
13000000123,1177,1,435.0,7,Volvería a comprar
13000000124,728,1,385.0,9,Todo perfecto
13000000125,268,2,391.0,7,Podría mejorar el empaque
13000000126,980,2,297.0,8,Atención muy buena
13000000127,902,2,33.0,5,Muy conforme con la calidad
13000000128,800,2,97.0,4,Podría mejorar el empaque
13000000129,1447,1,477.0,10,Podría mejorar el empaque
13000000130,130,1,419.0,7,Entrega rápida y producto excelente
13000000131,1176,2,518.0,9,Podría mejorar el empaque
13000000132,771,2,578.0,8,Entrega rápida y producto excelente
13000000133,158,1,340.0,0,Atención muy buena
13000000134,811,1,529.0,1,
13000000135,1369,1,278.0,8,Podría mejorar el empaque
13000000136,131,2,373.0,8,Atención muy buena
13000000137,69,2,196.0,9,
13000000138,395,1,209.0,9,Muy conforme con la calidad
13000000139,1106,2,431.0,6,Entrega rápida y producto excelente
13000000140,4,1,229.0,0,Atención muy buena
13000000141,292,1,563.0,7,
13000000142,1467,1,390.0,5,Entrega rápida y producto excelente
13000000143,317,1,252.0,1,Todo perfecto
13000000144,1374,2,552.0,10,Todo perfecto
13000000145,607,1,54.0,6,
13000000146,661,1,506.0,8,
13000000147,315,1,151.0,7,
13000000148,522,2,276.0,0,Podría mejorar el empaque
13000000149,697,1,290.0,2,Entrega rápida y producto excelente
13000000150,1351,1,512.0,5,Todo perfecto
13000000151,1209,2,436.0,9,Tardó un poco más de lo esperado
13000000152,93,1,271.0,8,Tardó un poco más de lo esperado
13000000153,8,2,554.0,8,
13000000154,1487,1,405.0,8,Todo perfecto
13000000155,501,1,521.0,9,
13000000156,949,1,552.0,8,
13000000157,745,1,380.0,10,Atención muy buena
13000000158,58,2,625.0,8,Atención muy buena
13000000159,1226,1,493.0,9,Muy conforme con la calidad
13000000160,952,2,91.0,8,Podría mejorar el empaque
13000000161,1424,1,565.0,7,Podría mejorar el empaque
13000000162,146,1,630.0,8,Volvería a comprar
13000000163,831,1,426.0,3,Todo perfecto
13000000164,991,1,582.0,0,Tardó un poco más de lo esperado
13000000165,485,1,377.0,8,Tardó un poco más de lo esperado
13000000166,789,2,225.0,4,Volvería a comprar
13000000167,1456,1,86.0,1,Entrega rápida y producto excelente
13000000168,1341,2,536.0,8,Todo perfecto
13000000169,993,1,350.0,7,Entrega rápida y producto excelente
13000000170,710,2,283.0,8,
13000000171,609,1,266.0,6,
13000000172,763,1,555.0,4,Tardó un poco más de lo esperado
13000000173,1356,1,529.0,1,Volvería a comprar
13000000174,1275,2,154.0,7,Entrega rápida y producto excelente
13000000175,490,2,626.0,9,Todo perfecto
13000000176,523,1,234.0,9,
13000000177,1234,2,189.0,9,Volvería a comprar
13000000178,1163,1,219.0,8,
13000000179,406,2,644.0,8,Atención muy buena
13000000180,835,1,557.0,2,Volvería a comprar
13000000181,320,1,493.0,8,Volvería a comprar
13000000182,414,1,372.0,7,Muy conforme con la calidad
13000000183,1463,1,87.0,9,
13000000184,928,2,208.0,10,
13000000185,643,1,418.0,9,Podría mejorar el empaque
13000000186,999,2,409.0,2,
13000000187,207,1,546.0,7,Muy conforme con la calidad
13000000188,641,1,419.0,0,Entrega rápida y producto excelente
13000000189,1110,1,645.0,1,Podría mejorar el empaque
13000000190,1062,1,510.0,8,Todo perfecto
13000000191,698,1,223.0,1,
13000000192,1236,1,546.0,10,Todo perfecto
13000000193,755,1,131.0,8,Volvería a comprar
13000000194,329,1,213.0,7,Podría mejorar el empaque
13000000195,800,1,269.0,7,Todo perfecto
13000000196,678,1,30.0,10,Todo perfecto
13000000197,1383,1,135.0,10,Tardó un poco más de lo esperado
13000000198,1251,1,96.0,10,Todo perfecto
13000000199,1252,1,56.0,7,Entrega rápida y producto excelente
13000000200,283,1,628.0,5,Todo perfecto
13000000201,907,2,196.0,2,Todo perfecto
13000000202,893,1,360.0,1,Entrega rápida y producto excelente
13000000203,413,2,484.0,8,Volvería a comprar
13000000204,788,2,301.0,10,Podría mejorar el empaque
13000000205,350,2,609.0,8,Todo perfecto
13000000206,758,2,18.0,5,Muy conforme con la calidad
13000000207,699,2,573.0,10,Muy conforme con la calidad
13000000208,689,1,37.0,9,Tardó un poco más de lo esperado
13000000209,348,1,115.0,1,Tardó un poco más de lo esperado
13000000210,974,1,488.0,9,Entrega rápida y producto excelente
13000000211,444,1,575.0,7,Muy conforme con la calidad
13000000212,96,1,615.0,9,Tardó un poco más de lo esperado
13000000213,674,1,385.0,7,Podría mejorar el empaque
13000000214,867,1,315.0,8,Muy conforme con la calidad
13000000215,686,1,573.0,7,
13000000216,640,1,161.0,10,Todo perfecto
13000000217,1191,1,223.0,9,Entrega rápida y producto excelente
13000000218,321,2,510.0,5,Volvería a comprar
13000000219,1045,1,272.0,3,Entrega rápida y producto excelente
