payment_id,order_id,paid_date_sk,customer_sk,channel_sk,store_sk,bill_addr_sk,amount,status,method,transaction_ref
7000000000,1000000000,332.0,356,1,,1914.0,63636.0,PAID,CARD,TX-1HW3GM7Q6LFJ
7000000001,1000000001,,601,1,,2807.0,78146.4,PENDING,GATEWAY,
7000000002,1000000002,425.0,1234,1,,130.0,32064.6,PAID,CARD,TX-8PBOWVHD7B4I
7000000003,1000000003,427.0,156,1,,2669.0,30855.0,PAID,CARD,TX-SQ97NPWQ6YK8
7000000004,1000000004,92.0,616,2,4.0,297.0,53451.75,PAID,CARD,TX-F7761XS1CXDC
7000000005,1000000005,73.0,614,2,2.0,727.0,29040.0,PAID,CASH,TX-RNWJHS1F8G0Y
7000000006,1000000006,564.0,188,1,,436.0,18442.5,REFUNDED,CARD,TX-X2AJGZ36N3FR
7000000007,1000000007,319.0,17,1,,,17535.0,PAID,CARD,TX-ZRHVYPGQTDRK
7000000008,1000000008,238.0,1148,1,,1022.0,109011.0,PAID,CARD,TX-CHL80ZD8IP5O
7000000009,1000000009,91.0,1037,1,,101.0,16718.25,PAID,GATEWAY,TX-J2VP8C6ROCZQ
7000000010,1000000010,74.0,1336,2,1.0,,17787.0,REFUNDED,TRANSFER,TX-1UN1COQAVK65
7000000011,1000000011,534.0,1239,2,4.0,1163.0,41309.4,PAID,CASH,TX-U5CXUHGK42O6
7000000012,1000000012,225.0,1426,2,3.0,2393.0,42688.8,PAID,CARD,TX-GS664FN80M9E
7000000013,1000000013,448.0,862,2,1.0,346.0,123283.88,PAID,CASH,TX-BZOPSO6JPRZD
7000000014,1000000014,598.0,181,1,,1242.0,15129.6,PAID,CARD,TX-AD0J2NGELHNC
7000000015,1000000015,,700,1,,2272.0,29659.2,FAILED,CARD,
7000000016,1000000016,607.0,475,1,,589.0,28642.8,PAID,GATEWAY,TX-Y2BIADVO9F18
7000000017,1000000017,417.0,753,2,2.0,2056.0,80912.7,PAID,CARD,TX-O7MTCOYJ61AJ
7000000018,1000000018,,1151,1,,1716.0,100107.9,FAILED,GATEWAY,
7000000019,1000000019,479.0,793,1,,1527.0,46023.24,PAID,CARD,TX-EMS8E80975XQ
7000000020,1000000020,127.0,866,1,,2937.0,59895.0,PAID,CARD,TX-EZKXQ80I4527
7000000021,1000000021,634.0,1110,1,,2250.0,29659.2,PAID,CARD,TX-BE5NW8R3MU50
7000000022,1000000022,93.0,854,2,1.0,1466.0,29040.0,REFUNDED,TRANSFER,TX-I1Q2G15R83Y7
7000000023,1000000023,555.0,379,2,3.0,2102.0,82764.0,PAID,CASH,TX-3TFFR8COO0FP
7000000024,1000000024,428.0,441,2,2.0,532.0,14229.6,PAID,CARD,TX-91AAY0A1V9Q3
7000000025,1000000025,605.0,125,1,,1985.0,86005.88,PAID,CARD,TX-SVYYRKPOYWM4
7000000026,1000000026,350.0,1201,1,,3168.0,17535.0,PAID,CARD,TX-9O9IH4O8JG78
7000000027,1000000027,337.0,1055,1,,2325.0,28488.0,PAID,CARD,TX-C245O7O7GRI9
7000000028,1000000028,139.0,382,1,,342.0,14520.0,PAID,CARD,TX-J6HQJG5HEW5S
7000000029,1000000029,623.0,1456,1,,414.0,79235.4,PAID,CARD,TX-DRZ2QYPBHF3H
7000000030,1000000030,528.0,1377,2,4.0,2585.0,41382.0,PAID,CARD,TX-13PMNCYBLOP6
7000000031,1000000031,499.0,1375,2,4.0,928.0,28459.2,PAID,CASH,TX-PFV0D0IML4NF
7000000032,1000000032,441.0,821,1,,2185.0,33870.0,PAID,CARD,TX-UM2KN2XHQSHB
7000000033,1000000033,160.0,1475,2,4.0,2316.0,17787.0,PAID,CASH,TX-PO2UBATPZ00H
7000000034,1000000034,324.0,634,2,2.0,1160.0,103318.88,PAID,CASH,TX-922WAHDO61XN
7000000035,1000000035,13.0,585,2,1.0,2440.0,26136.0,PAID,CARD,TX-Y8T15028LSUX
7000000036,1000000036,270.0,180,1,,3142.0,61158.0,PAID,CARD,TX-WSO0CISUVYK2
7000000037,1000000037,27.0,482,1,,1548.0,31082.16,PAID,CARD,TX-VCRJJP6E0CCG
7000000038,1000000038,33.0,620,2,1.0,307.0,14229.6,PAID,CARD,TX-DIL01AV2R2A9
7000000039,1000000039,144.0,603,2,1.0,3134.0,71583.6,PAID,CARD,TX-GO2N5MUY0V3U
7000000040,1000000040,,1028,1,,2288.0,14994.0,FAILED,CARD,
7000000041,1000000041,15.0,1005,2,3.0,,29657.1,PAID,CASH,TX-B543BB9H5C7R
7000000042,1000000042,272.0,790,1,,742.0,13914.6,PAID,GATEWAY,TX-X79V37PRDDTB
7000000043,1000000043,143.0,665,1,,2230.0,48816.0,PAID,CARD,TX-3MPXSV4DAUND
7000000044,1000000044,614.0,562,1,,,90435.0,PAID,GATEWAY,TX-4JUJUM3AY4L6
7000000045,1000000045,34.0,998,1,,2030.0,44460.0,PAID,GATEWAY,TX-6G4YWKOODVMB
7000000046,1000000046,15.0,276,1,,,39930.0,PAID,CARD,TX-OAGVE3OT79YR
7000000047,1000000047,68.0,1469,2,2.0,,13068.0,PAID,CASH,TX-AL44LOCGN4MF
7000000048,1000000048,,408,2,2.0,2369.0,28459.2,PENDING,CARD,
7000000049,1000000049,226.0,1360,2,2.0,178.0,49005.0,PAID,TRANSFER,TX-66ID36XC53T2
7000000050,1000000050,207.0,1423,1,,1107.0,35685.0,PAID,GATEWAY,TX-7PTIHWUY0CDA
7000000051,1000000051,262.0,741,1,,1344.0,38252.7,PAID,CARD,TX-F093FL0ELLCQ
7000000052,1000000052,311.0,969,1,,,85377.6,PAID,CARD,TX-LC4H6TVD1ZOD
7000000053,1000000053,,729,1,,2599.0,33570.0,FAILED,CARD,
7000000054,1000000054,78.0,251,2,4.0,2469.0,14941.08,PAID,CASH,TX-BABHWIKVNZZ3
7000000055,1000000055,571.0,1087,2,1.0,2309.0,51727.5,PAID,CARD,TX-RJQ9HE6VB7HF
7000000056,1000000056,471.0,659,1,,2450.0,87140.25,PAID,CARD,TX-0RAAOO91OA8N
7000000057,1000000057,420.0,338,2,4.0,630.0,34394.25,PAID,CASH,TX-UXBOXO5T9DHX
7000000058,1000000058,,1068,1,,3.0,53953.5,FAILED,CARD,
7000000059,1000000059,185.0,958,1,,1977.0,77682.0,PAID,CARD,TX-7033ZUJCIUHD
7000000060,1000000060,,428,2,4.0,337.0,35283.6,FAILED,CARD,
7000000061,1000000061,428.0,1337,1,,298.0,15720.0,PAID,CARD,TX-5BCIDL8LGH8R
7000000062,1000000062,359.0,1442,2,3.0,696.0,54450.0,PAID,TRANSFER,TX-T7NWUQIQ9VOB
7000000063,1000000063,153.0,939,1,,3172.0,46323.24,PAID,GATEWAY,TX-D4XNYWF5QEYL
7000000064,1000000064,432.0,1409,1,,3175.0,19168.5,PAID,GATEWAY,TX-N8533KHZH4J5
7000000065,1000000065,262.0,1062,1,,2637.0,43888.8,PAID,GATEWAY,TX-JPJLBWJ1IRVA
7000000066,1000000066,,988,1,,1191.0,43888.8,FAILED,GATEWAY,
7000000067,1000000067,468.0,778,1,,1602.0,18687.0,REFUNDED,GATEWAY,TX-MZNG9JBD25OS
7000000068,1000000068,339.0,77,1,,1747.0,102166.35,PAID,CARD,TX-PRTYVEKSVQUQ
7000000069,1000000069,166.0,700,1,,1472.0,53361.0,PAID,CARD,TX-4QPQRW6T77VI
7000000070,1000000070,575.0,425,1,,2747.0,15420.0,PAID,CARD,TX-4N53JR8S1YKT
7000000071,1000000071,206.0,1271,2,3.0,1522.0,14229.6,PAID,CARD,TX-222J0CRS0SJJ
7000000072,1000000072,35.0,1129,1,,2125.0,17018.25,PAID,GATEWAY,TX-P43FW2ENH6BE
7000000073,1000000073,344.0,1224,1,,485.0,19576.35,PAID,CARD,TX-HU7AKHXTZ1YN
7000000074,1000000074,349.0,446,1,,3072.0,69071.4,PAID,CARD,TX-TR4GSE74V5DM
7000000075,1000000075,449.0,867,1,,1944.0,36474.0,PAID,CARD,TX-SK0540SEJOKI
7000000076,1000000076,62.0,127,1,,423.0,29659.2,PAID,CARD,TX-N5EHQ403IVWA
7000000077,1000000077,341.0,874,2,1.0,208.0,28459.2,PAID,CASH,TX-MBGQQW2NEF1F
7000000078,1000000078,378.0,814,1,,374.0,49186.5,PAID,CARD,TX-IKM85NPGE98X
7000000079,1000000079,627.0,1189,1,,2306.0,40404.0,PAID,GATEWAY,TX-UIU52W85YPS8
7000000080,1000000080,316.0,584,1,,2170.0,18687.0,PAID,CARD,TX-X6TWS79CTHK8
7000000081,1000000081,399.0,1433,1,,2160.0,64788.0,PAID,CARD,TX-1VPIVXSYTP4J
7000000082,1000000082,630.0,670,1,,2091.0,42582.0,PAID,CARD,TX-472J8NP9S8E9
7000000083,1000000083,44.0,464,1,,2869.0,47301.0,REFUNDED,GATEWAY,TX-SBJLVY6L1XXX
7000000084,1000000084,332.0,535,1,,,19050.0,PAID,GATEWAY,TX-GJJBKDYPJZ5E
7000000085,1000000085,427.0,655,1,,2539.0,16441.08,PAID,GATEWAY,TX-4YYBKHTAB92W
7000000086,1000000086,598.0,833,1,,855.0,14268.0,PAID,GATEWAY,TX-H6SGL5WR6ZEB
7000000087,1000000087,,490,1,,1319.0,14994.0,FAILED,CARD,
7000000088,1000000088,34.0,360,1,,104.0,69144.0,PAID,GATEWAY,TX-YO60F0EA8647
7000000089,1000000089,537.0,1227,1,,2146.0,18442.5,PAID,CARD,TX-JKULC5L36UG4
7000000090,1000000090,29.0,624,1,,2890.0,45458.25,PAID,CARD,TX-IO1AR1ZGZBUT
7000000091,1000000091,50.0,228,1,,1743.0,110342.92,PAID,GATEWAY,TX-NDNQBVR081I1
7000000092,1000000092,167.0,770,1,,530.0,37200.0,PAID,GATEWAY,TX-7539MH4QX495
7000000093,1000000093,320.0,54,2,2.0,2329.0,102456.75,PAID,CASH,TX-V4AUXB59ROGA
7000000094,1000000094,364.0,1006,2,4.0,2237.0,90387.0,PAID,CASH,TX-LBRHLVO2Y93F
7000000095,1000000095,635.0,247,1,,1236.0,59897.1,PAID,GATEWAY,TX-MBMP050ORNEE
7000000096,1000000096,510.0,1127,2,3.0,1319.0,42688.8,PAID,CASH,TX-14WCNJXENRUU
7000000097,1000000097,166.0,757,2,2.0,2453.0,18676.35,PAID,CASH,TX-TS02NI4GYBVJ
7000000098,1000000098,383.0,520,1,,3135.0,44351.1,PAID,CARD,TX-2EHPQP6AIXY3
7000000099,1000000099,59.0,258,1,,1515.0,14520.0,PAID,CARD,TX-6QBJB2NZNX9G
7000000100,1000000100,,467,1,,1636.0,28909.08,FAILED,CARD,
7000000101,1000000101,91.0,3,1,,2640.0,44460.0,PAID,GATEWAY,TX-N8LT25CDZBGQ
7000000102,1000000102,325.0,334,1,,2620.0,43888.8,PAID,CARD,TX-UA4DQXIN6727
7000000103,1000000103,,802,2,3.0,553.0,37243.8,PENDING,CASH,
7000000104,1000000104,84.0,999,1,,255.0,37500.0,REFUNDED,CARD,TX-GYPM2FM72C6Z
7000000105,1000000105,133.0,176,1,,462.0,27336.0,PAID,CARD,TX-HSNZ6UUKGLAE
7000000106,1000000106,407.0,801,1,,607.0,19050.0,PAID,GATEWAY,TX-886LJXE6L2ZU
7000000107,1000000107,143.0,1113,1,,751.0,42064.2,PAID,CARD,TX-W9F9L785FTPB
7000000108,1000000108,551.0,810,2,4.0,,56029.05,PAID,CASH,TX-QM24BIHB24AY
7000000109,1000000109,115.0,581,2,4.0,704.0,39930.0,PAID,CARD,TX-18ZITZHX2G7U
7000000110,1000000110,,1284,2,2.0,3026.0,82364.7,FAILED,TRANSFER,
7000000111,1000000111,356.0,1333,1,,2902.0,19876.35,PAID,GATEWAY,TX-LLQCAQ4XRN0T
7000000112,1000000112,427.0,24,2,2.0,806.0,92891.7,PAID,CASH,TX-MH4GBLCKUHYD
7000000113,1000000113,,1222,2,1.0,1895.0,15652.56,FAILED,CARD,
7000000114,1000000114,263.0,63,2,1.0,2180.0,11761.2,PAID,TRANSFER,TX-42Q8BZ53GWTF
7000000115,1000000115,50.0,1078,1,,2864.0,27636.0,REFUNDED,CARD,TX-PLUI46HDV8I9
7000000116,1000000116,186.0,1091,1,,2787.0,49116.0,PAID,CARD,TX-FCJTQEJPPTTX
7000000117,1000000117,386.0,524,1,,3173.0,30240.0,PAID,CARD,TX-AKHIN8QKBR9F
7000000118,1000000118,596.0,1229,1,,1458.0,47857.68,PAID,CARD,TX-5HRXEHTTUWX2
7000000119,1000000119,563.0,458,2,4.0,2845.0,17787.0,PAID,CARD,TX-IWD52SW6D9WI
7000000120,1000000120,112.0,68,1,,1466.0,14229.6,PAID,CARD,TX-ILPQFBQW1HUK
7000000121,1000000121,355.0,959,2,4.0,2706.0,45520.2,PAID,TRANSFER,TX-921BB2YAJ1WR
7000000122,1000000122,608.0,356,2,1.0,3167.0,43560.0,PAID,CASH,TX-89TOCP8FP1K8
7000000123,1000000123,,530,1,,1284.0,18987.0,FAILED,CARD,
7000000124,1000000124,37.0,1420,1,,1268.0,67367.64,PAID,GATEWAY,TX-1XC2I92PV07U
7000000125,1000000125,193.0,279,2,3.0,954.0,62073.0,PAID,TRANSFER,TX-CII1J0F53QB3
7000000126,1000000126,164.0,779,2,3.0,206.0,18150.0,PAID,CASH,TX-E46XAAD0XH2M
7000000127,1000000127,60.0,1383,1,,3141.0,69988.5,PAID,CARD,TX-3DYYWZL0OZT4
7000000128,1000000128,,1189,1,,885.0,101470.2,FAILED,CARD,
7000000129,1000000129,629.0,1016,1,,1995.0,76858.8,PAID,CARD,TX-RRK6UJVBP3BA
7000000130,1000000130,509.0,595,2,3.0,164.0,14701.5,PAID,CASH,TX-J90VB1C4W9I4
7000000131,1000000131,25.0,902,2,4.0,2020.0,47916.0,PAID,CASH,TX-Y1HNXIYYVIWS
7000000132,1000000132,210.0,317,1,,2601.0,33216.6,PAID,CARD,TX-M2V0MW405G00
7000000133,1000000133,168.0,1229,2,2.0,,18150.0,PAID,TRANSFER,TX-Z1JB0OXDFNS8
7000000134,1000000134,8.0,279,2,3.0,63.0,75358.8,PAID,CASH,TX-98P7PRJHHZH1
7000000135,1000000135,153.0,1498,2,4.0,2609.0,39930.0,PAID,CASH,TX-1CGWJ9S8U287
7000000136,1000000136,388.0,140,1,,2026.0,34485.0,PAID,CARD,TX-BW4Q46DERG87
7000000137,1000000137,323.0,1115,1,,462.0,14229.6,PAID,GATEWAY,TX-V1KGVXLOBICL
7000000138,1000000138,6.0,1240,1,,1477.0,42882.0,PAID,CARD,TX-PXS2LYM9VUDM
7000000139,1000000139,99.0,590,1,,1328.0,17535.0,PAID,CARD,TX-6FRNX7VHUKP5
7000000140,1000000140,417.0,645,2,3.0,1878.0,16008.3,PAID,CASH,TX-KDQIUT6HRCFU
7000000141,1000000141,338.0,545,2,1.0,2477.0,14374.8,REFUNDED,TRANSFER,TX-TJABWHM24N2G
7000000142,1000000142,543.0,1208,1,,3064.0,62854.26,REFUNDED,CARD,TX-ATMX5MVNFKMN
7000000143,1000000143,160.0,551,2,1.0,1113.0,80586.0,PAID,CARD,TX-523ARBBR7DKI
7000000144,1000000144,,569,2,1.0,214.0,35937.0,FAILED,CARD,
7000000145,1000000145,568.0,1305,1,,,37800.0,PAID,GATEWAY,TX-30JNSPSKTRCG
7000000146,1000000146,126.0,280,1,,194.0,100951.88,PAID,CARD,TX-XAZ8J2P7RN3J
7000000147,1000000147,343.0,1338,1,,,72701.4,PAID,CARD,TX-AY74FPLLGRCU
7000000148,1000000148,541.0,84,1,,592.0,43888.8,PAID,CARD,TX-FO8HBF5JCDZ9
7000000149,1000000149,389.0,655,1,,81.0,17235.0,PAID,GATEWAY,TX-Q8HCQUTXQ7XL
7000000150,1000000150,517.0,513,2,4.0,3049.0,39131.4,PAID,CARD,TX-16PJPVWP8VO5
7000000151,1000000151,108.0,884,2,3.0,849.0,42688.8,PAID,CARD,TX-D5E93RC1Y9LZ
7000000152,1000000152,9.0,385,2,2.0,1553.0,11761.2,PAID,CARD,TX-60N330PGBOPH
7000000153,1000000153,,723,2,2.0,752.0,13068.0,FAILED,CARD,
7000000154,1000000154,184.0,110,2,1.0,2113.0,51455.25,PAID,CASH,TX-C5TG8BKA8V0I
7000000155,1000000155,43.0,1197,1,,2708.0,15420.0,PAID,CARD,TX-QDUILY7E5RXR
7000000156,1000000156,303.0,833,2,2.0,1194.0,51727.5,PAID,CASH,TX-38M7D53IIBFW
7000000157,1000000157,,371,2,3.0,1185.0,71692.5,FAILED,TRANSFER,
7000000158,1000000158,116.0,905,2,1.0,1807.0,36300.0,PAID,CARD,TX-2D7GG3Z4ZLDA
7000000159,1000000159,196.0,389,1,,3180.0,16141.08,PAID,CARD,TX-WQF78OSLQBW6
7000000160,1000000160,166.0,1299,2,4.0,,35574.0,PAID,TRANSFER,TX-OTEFX8XIJPHG
7000000161,1000000161,296.0,725,1,,,55350.0,PAID,GATEWAY,TX-ELH913SD09OY
7000000162,1000000162,579.0,645,2,4.0,161.0,27588.0,PAID,CARD,TX-8EDJM7W4HXIO
7000000163,1000000163,58.0,584,1,,984.0,27036.0,PAID,CARD,TX-FA2N1L9GFVND
7000000164,1000000164,420.0,436,1,,3083.0,77130.0,PAID,CARD,TX-YH73YULSS506
7000000165,1000000165,606.0,293,1,,2895.0,29959.2,PAID,GATEWAY,TX-RBYQGYIW59OD
7000000166,1000000166,576.0,1065,1,,,53744.25,PAID,GATEWAY,TX-D8WL2IKBUTZI
7000000167,1000000167,,1234,1,,1645.0,58172.85,FAILED,CARD,
7000000168,1000000168,,400,1,,2133.0,50205.0,FAILED,CARD,
7000000169,1000000169,191.0,251,1,,,14268.0,PAID,GATEWAY,TX-XQWOUYAADU90
