order_sk,order_date_sk,customer_sk,channel_sk,store_sk,ship_addr_sk,bill_addr_sk,status,currency_code,subtotal,tax_amount,shipping_fee,total_amount
1,331,356,1,,599,1914,FULFILLED,ARS,51600.0,10836.0,1200.0,63636.0
2,31,601,1,,2538,2807,CREATED,ARS,63840.0,13406.4,900.0,78146.4
3,423,1234,1,,3067,130,FULFILLED,ARS,25260.0,5304.6,1500.0,32064.6
4,426,156,1,,511,2669,FULFILLED,ARS,25500.0,5355.0,0.0,30855.0
5,90,616,2,4,4,297,FULFILLED,ARS,44175.0,9276.75,0.0,53451.75
6,72,614,2,2,2,727,FULFILLED,ARS,24000.0,5040.0,0.0,29040.0
7,562,188,1,,1152,436,REFUNDED,ARS,14250.0,2992.5,1200.0,18442.5
8,316,17,1,,2581,,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
9,238,1148,1,,494,1022,FULFILLED,ARS,89100.0,18711.0,1200.0,109011.0
10,90,1037,1,,978,101,PAID,ARS,12825.0,2693.25,1200.0,16718.25
11,73,1336,2,1,1,,REFUNDED,ARS,14700.0,3087.0,0.0,17787.0
12,534,1239,2,4,4,1163,FULFILLED,ARS,34140.0,7169.4,0.0,41309.4
13,222,1426,2,3,3,2393,FULFILLED,ARS,35280.0,7408.8,0.0,42688.8
14,448,862,2,1,1,346,PAID,ARS,101887.5,21396.38,0.0,123283.88
15,596,181,1,,2921,1242,PAID,ARS,11760.0,2469.6,900.0,15129.6
16,259,700,1,,807,2272,CANCELLED,ARS,23520.0,4939.2,1200.0,29659.2
17,605,475,1,,2562,589,FULFILLED,ARS,22680.0,4762.8,1200.0,28642.8
18,416,753,2,2,2,2056,FULFILLED,ARS,66870.0,14042.7,0.0,80912.7
19,196,1151,1,,1695,1716,CANCELLED,ARS,81990.0,17217.9,900.0,100107.9
20,477,793,1,,2616,1527,FULFILLED,ARS,37044.0,7779.24,1200.0,46023.24
21,127,866,1,,2378,2937,FULFILLED,ARS,49500.0,10395.0,0.0,59895.0
22,632,1110,1,,1549,2250,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
23,91,854,2,1,1,1466,REFUNDED,ARS,24000.0,5040.0,0.0,29040.0
24,552,379,2,3,3,2102,FULFILLED,ARS,68400.0,14364.0,0.0,82764.0
25,427,441,2,2,2,532,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
26,604,125,1,,516,1985,FULFILLED,ARS,70087.5,14718.38,1200.0,86005.88
27,347,1201,1,,301,3168,FULFILLED,ARS,13500.0,2835.0,1200.0,17535.0
28,337,1055,1,,1862,2325,FULFILLED,ARS,22800.0,4788.0,900.0,28488.0
29,138,382,1,,1423,342,FULFILLED,ARS,12000.0,2520.0,0.0,14520.0
30,623,1456,1,,1425,414,FULFILLED,ARS,64740.0,13595.4,900.0,79235.4
31,526,1377,2,4,4,2585,PAID,ARS,34200.0,7182.0,0.0,41382.0
32,496,1375,2,4,4,928,PAID,ARS,23520.0,4939.2,0.0,28459.2
33,440,821,1,,924,2185,FULFILLED,ARS,27000.0,5670.0,1200.0,33870.0
34,160,1475,2,4,4,2316,FULFILLED,ARS,14700.0,3087.0,0.0,17787.0
35,322,634,2,2,2,1160,FULFILLED,ARS,85387.5,17931.38,0.0,103318.88
36,12,585,2,1,1,2440,FULFILLED,ARS,21600.0,4536.0,0.0,26136.0
37,268,180,1,,1863,3142,FULFILLED,ARS,49800.0,10458.0,900.0,61158.0
38,26,482,1,,2325,1548,FULFILLED,ARS,24696.0,5186.16,1200.0,31082.16
39,33,620,2,1,1,307,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
40,144,603,2,1,1,3134,FULFILLED,ARS,59160.0,12423.6,0.0,71583.6
41,64,1028,1,,1149,2288,CANCELLED,ARS,11400.0,2394.0,1200.0,14994.0
42,14,1005,2,3,3,,FULFILLED,ARS,24510.0,5147.1,0.0,29657.1
43,271,790,1,,33,742,FULFILLED,ARS,10260.0,2154.6,1500.0,13914.6
44,142,665,1,,2043,2230,PAID,ARS,39600.0,8316.0,900.0,48816.0
45,611,562,1,,1135,,FULFILLED,ARS,73500.0,15435.0,1500.0,90435.0
46,32,998,1,,1984,2030,FULFILLED,ARS,36000.0,7560.0,900.0,44460.0
47,12,276,1,,493,,FULFILLED,ARS,33000.0,6930.0,0.0,39930.0
48,68,1469,2,2,2,,FULFILLED,ARS,10800.0,2268.0,0.0,13068.0
49,257,408,2,2,2,2369,CREATED,ARS,23520.0,4939.2,0.0,28459.2
50,224,1360,2,2,2,178,FULFILLED,ARS,40500.0,8505.0,0.0,49005.0
51,207,1423,1,,665,1107,FULFILLED,ARS,28500.0,5985.0,1200.0,35685.0
52,259,741,1,,1867,1344,FULFILLED,ARS,30870.0,6482.7,900.0,38252.7
53,309,969,1,,1612,,FULFILLED,ARS,70560.0,14817.6,0.0,85377.6
54,223,729,1,,458,2599,CANCELLED,ARS,27000.0,5670.0,900.0,33570.0
55,76,251,2,4,4,2469,PAID,ARS,12348.0,2593.08,0.0,14941.08
56,570,1087,2,1,1,2309,PAID,ARS,42750.0,8977.5,0.0,51727.5
57,468,659,1,,1891,2450,FULFILLED,ARS,71025.0,14915.25,1200.0,87140.25
58,418,338,2,4,4,630,FULFILLED,ARS,28425.0,5969.25,0.0,34394.25
59,265,1068,1,,2075,3,CANCELLED,ARS,43350.0,9103.5,1500.0,53953.5
60,183,958,1,,2539,1977,FULFILLED,ARS,64200.0,13482.0,0.0,77682.0
61,56,428,2,4,4,337,CANCELLED,ARS,29160.0,6123.6,0.0,35283.6
62,426,1337,1,,88,298,FULFILLED,ARS,12000.0,2520.0,1200.0,15720.0
63,358,1442,2,3,3,696,FULFILLED,ARS,45000.0,9450.0,0.0,54450.0
64,151,939,1,,410,3172,FULFILLED,ARS,37044.0,7779.24,1500.0,46323.24
65,429,1409,1,,311,3175,FULFILLED,ARS,14850.0,3118.5,1200.0,19168.5
66,261,1062,1,,1403,2637,FULFILLED,ARS,35280.0,7408.8,1200.0,43888.8
67,26,988,1,,138,1191,CANCELLED,ARS,35280.0,7408.8,1200.0,43888.8
68,467,778,1,,1252,1602,REFUNDED,ARS,14700.0,3087.0,900.0,18687.0
69,336,77,1,,624,1747,PAID,ARS,84435.0,17731.35,0.0,102166.35
70,164,700,1,,480,1472,FULFILLED,ARS,44100.0,9261.0,0.0,53361.0
71,572,425,1,,432,2747,PAID,ARS,12000.0,2520.0,900.0,15420.0
72,204,1271,2,3,3,1522,FULFILLED,ARS,11760.0,2469.6,0.0,14229.6
73,33,1129,1,,2540,2125,PAID,ARS,12825.0,2693.25,1500.0,17018.25
74,342,1224,1,,1123,485,PAID,ARS,15435.0,3241.35,900.0,19576.35
75,349,446,1,,2068,3072,FULFILLED,ARS,56340.0,11831.4,900.0,69071.4
76,447,867,1,,2685,1944,FULFILLED,ARS,29400.0,6174.0,900.0,36474.0
77,61,127,1,,3189,423,FULFILLED,ARS,23520.0,4939.2,1200.0,29659.2
78,339,874,2,1,1,208,PAID,ARS,23520.0,4939.2,0.0,28459.2
