order_item_sk,order_date_sk,customer_sk,channel_sk,store_sk,bill_addr_sk,product_sk,quantity,unit_price,discount_amount,line_total
1,331,356,1,,1914,2,2,15000.0,0.0,30000.0
2,331,356,1,,1914,1,2,12000.0,2400.0,21600.0
3,31,601,1,,2807,1,1,12000.0,240.0,11760.0
4,31,601,1,,2807,2,2,15000.0,600.0,29400.0
5,31,601,1,,2807,1,2,12600.0,2520.0,22680.0
6,423,1234,1,,130,1,1,12000.0,240.0,11760.0
7,423,1234,1,,130,2,1,15000.0,1500.0,13500.0
8,426,156,1,,2669,1,1,12000.0,1200.0,10800.0
9,426,156,1,,2669,2,1,15000.0,300.0,14700.0
10,90,616,2,4,297,2,2,15750.0,1575.0,29925.0
11,90,616,2,4,297,2,1,15000.0,750.0,14250.0
12,72,614,2,2,727,1,2,12000.0,0.0,24000.0
13,562,188,1,,436,2,1,15000.0,750.0,14250.0
14,316,17,1,,,2,1,15000.0,1500.0,13500.0
15,238,1148,1,,1022,1,3,12000.0,0.0,36000.0
16,238,1148,1,,1022,2,3,15000.0,4500.0,40500.0
17,238,1148,1,,1022,1,1,12600.0,0.0,12600.0
18,90,1037,1,,101,2,1,13500.0,675.0,12825.0
19,73,1336,2,1,,2,1,15000.0,300.0,14700.0
20,534,1239,2,4,1163,2,1,15000.0,300.0,14700.0
21,534,1239,2,4,1163,1,2,10800.0,2160.0,19440.0
22,222,1426,2,3,2393,1,3,12000.0,720.0,35280.0
23,448,862,2,1,346,2,3,15750.0,2362.5,44887.5
24,448,862,2,1,346,1,3,12000.0,1800.0,34200.0
25,448,862,2,1,346,1,2,12000.0,1200.0,22800.0
26,596,181,1,,1242,1,1,12000.0,240.0,11760.0
27,259,700,1,,2272,1,2,12000.0,480.0,23520.0
28,605,475,1,,589,1,2,12600.0,2520.0,22680.0
29,416,753,2,2,2056,2,2,15750.0,630.0,30870.0
30,416,753,2,2,2056,1,3,12000.0,0.0,36000.0
31,196,1151,1,,1716,2,1,13500.0,270.0,13230.0
32,196,1151,1,,1716,1,2,13200.0,2640.0,23760.0
33,196,1151,1,,1716,2,3,15000.0,0.0,45000.0
34,477,793,1,,1527,1,3,12600.0,756.0,37044.0
35,127,866,1,,2937,2,3,16500.0,0.0,49500.0
36,632,1110,1,,2250,1,2,12000.0,480.0,23520.0
37,91,854,2,1,1466,1,2,12000.0,0.0,24000.0
38,552,379,2,3,2102,2,2,15000.0,600.0,29400.0
39,552,379,2,3,2102,1,1,12000.0,0.0,12000.0
40,552,379,2,3,2102,2,2,15000.0,3000.0,27000.0
41,427,441,2,2,532,1,1,12000.0,240.0,11760.0
42,604,125,1,,1985,2,3,15750.0,2362.5,44887.5
43,604,125,1,,1985,1,2,12600.0,0.0,25200.0
44,347,1201,1,,3168,2,1,15000.0,1500.0,13500.0
45,337,1055,1,,2325,1,2,12000.0,1200.0,22800.0
46,138,382,1,,342,1,1,12000.0,0.0,12000.0
47,623,1456,1,,414,2,2,16500.0,660.0,32340.0
48,623,1456,1,,414,1,3,12000.0,3600.0,32400.0
49,526,1377,2,4,2585,1,3,12000.0,1800.0,34200.0
50,496,1375,2,4,928,1,2,12000.0,480.0,23520.0
51,440,821,1,,2185,2,2,15000.0,3000.0,27000.0
52,160,1475,2,4,2316,2,1,15000.0,300.0,14700.0
53,322,634,2,2,1160,2,3,15750.0,2362.5,44887.5
54,322,634,2,2,1160,2,3,15000.0,4500.0,40500.0
55,12,585,2,1,2440,1,2,12000.0,2400.0,21600.0
56,268,180,1,,3142,1,2,12000.0,1200.0,22800.0
57,268,180,1,,3142,2,2,15000.0,3000.0,27000.0
58,26,482,1,,1548,1,2,12600.0,504.0,24696.0
59,33,620,2,1,307,1,1,12000.0,240.0,11760.0
60,144,603,2,1,3134,1,3,10800.0,3240.0,29160.0
61,144,603,2,1,3134,2,2,15000.0,0.0,30000.0
62,64,1028,1,,2288,1,1,12000.0,600.0,11400.0
63,14,1005,2,3,,2,1,15000.0,750.0,14250.0
64,14,1005,2,3,,1,1,10800.0,540.0,10260.0
65,271,790,1,,742,1,1,10800.0,540.0,10260.0
66,142,665,1,,2230,1,3,13200.0,0.0,39600.0
67,611,562,1,,,2,2,15000.0,600.0,29400.0
68,611,562,1,,,2,3,15000.0,900.0,44100.0
69,32,998,1,,2030,1,3,12000.0,0.0,36000.0
70,12,276,1,,,2,2,16500.0,0.0,33000.0
71,68,1469,2,2,,1,1,12000.0,1200.0,10800.0
72,257,408,2,2,2369,1,2,12000.0,480.0,23520.0
73,224,1360,2,2,178,2,3,13500.0,0.0,40500.0
74,207,1423,1,,1107,2,2,15000.0,1500.0,28500.0
75,259,741,1,,1344,2,2,15750.0,630.0,30870.0
76,309,969,1,,,1,3,12000.0,720.0,35280.0
77,309,969,1,,,1,3,12000.0,720.0,35280.0
78,223,729,1,,2599,2,2,15000.0,3000.0,27000.0
79,76,251,2,4,2469,1,1,12600.0,252.0,12348.0
80,570,1087,2,1,2309,2,3,15000.0,2250.0,42750.0
81,468,659,1,,2450,1,2,12000.0,0.0,24000.0
82,468,659,1,,2450,2,3,16500.0,2475.0,47025.0
83,418,338,2,4,630,2,1,15000.0,750.0,14250.0
84,418,338,2,4,630,2,1,15750.0,1575.0,14175.0
85,265,1068,1,,3,2,1,16500.0,1650.0,14850.0
86,265,1068,1,,3,2,2,15000.0,1500.0,28500.0
87,183,958,1,,1977,1,3,12000.0,1800.0,34200.0
88,183,958,1,,1977,2,2,15000.0,0.0,30000.0
89,56,428,2,4,337,1,3,10800.0,3240.0,29160.0
90,426,1337,1,,298,1,1,12000.0,0.0,12000.0
91,358,1442,2,3,696,2,3,15000.0,0.0,45000.0
92,151,939,1,,3172,1,3,12600.0,756.0,37044.0
93,429,1409,1,,3175,2,1,16500.0,1650.0,14850.0
94,261,1062,1,,2637,1,3,12000.0,720.0,35280.0
95,26,988,1,,1191,1,3,12000.0,720.0,35280.0
96,467,778,1,,1602,2,1,15000.0,300.0,14700.0
97,336,77,1,,1747,2,1,15750.0,315.0,15435.0
98,336,77,1,,1747,1,2,12000.0,0.0,24000.0
99,336,77,1,,1747,2,3,15000.0,0.0,45000.0
100,164,700,1,,1472,2,3,15000.0,900.0,44100.0
101,572,425,1,,2747,1,1,12000.0,0.0,12000.0
102,204,1271,2,3,1522,1,1,12000.0,240.0,11760.0
103,33,1129,1,,2125,2,1,13500.0,675.0,12825.0
104,342,1224,1,,485,2,1,15750.0,315.0,15435.0
105,349,446,1,,3072,1,2,12600.0,1260.0,23940.0
106,349,446,1,,3072,1,3,12000.0,3600.0,32400.0
107,447,867,1,,1944,2,2,15000.0,600.0,29400.0
108,61,127,1,,423,1,2,12000.0,480.0,23520.0
109,339,874,2,1,208,1,2,12000.0,480.0,23520.0
110,375,814,1,,374,2,1,15000.0,750.0,14250.0
111,375,814,1,,374,1,2,13200.0,0.0,26400.0
112,625,1189,1,,2306,1,1,10800.0,0.0,10800.0
113,625,1189,1,,2306,1,2,12000.0,2400.0,21600.0
114,316,584,1,,2170,2,1,15000.0,300.0,14700.0
115,399,1433,1,,2160,1,2,12000.0,1200.0,22800.0
116,399,1433,1,,2160,2,2,15000.0,0.0,30000.0
117,630,670,1,,2091,1,3,12000.0,1800.0,34200.0
118,41,464,1,,2869,2,1,16500.0,0.0,16500.0
119,41,464,1,,2869,1,2,12000.0,2400.0,21600.0
120,330,535,1,,,2,1,15000.0,0.0,15000.0
121,426,655,1,,2539,1,1,12600.0,252.0,12348.0
122,596,833,1,,855,1,1,12000.0,1200.0,10800.0
123,348,490,1,,1319,1,1,12000.0,600.0,11400.0
124,34,360,1,,104,2,2,15000.0,600.0,29400.0
125,34,360,1,,104,2,2,15000.0,3000.0,27000.0
126,535,1227,1,,2146,2,1,15000.0,750.0,14250.0
127,27,624,1,,2890,1,2,12000.0,0.0,24000.0
128,27,624,1,,2890,2,1,13500.0,675.0,12825.0
129,48,228,1,,1743,2,3,15750.0,2362.5,44887.5
130,48,228,1,,1743,2,3,15750.0,945.0,46305.0
131,165,770,1,,530,2,2,15000.0,0.0,30000.0
132,319,54,2,2,2329,2,3,15000.0,0.0,45000.0
133,319,54,2,2,2329,1,2,12000.0,0.0,24000.0
134,319,54,2,2,2329,2,1,16500.0,825.0,15675.0
135,362,1006,2,4,2237,1,3,12000.0,1800.0,34200.0
136,362,1006,2,4,2237,2,3,13500.0,0.0,40500.0
137,634,247,1,,1236,2,3,16500.0,990.0,48510.0
138,509,1127,2,3,1319,1,3,12000.0,720.0,35280.0
139,164,757,2,2,2453,2,1,15750.0,315.0,15435.0
140,382,520,1,,3135,1,3,12600.0,1890.0,35910.0
141,58,258,1,,1515,1,1,12000.0,0.0,12000.0
142,212,467,1,,1636,1,1,10800.0,0.0,10800.0
143,212,467,1,,1636,1,1,12600.0,252.0,12348.0
144,90,3,1,,2640,1,3,12000.0,0.0,36000.0
145,324,334,1,,2620,1,3,12000.0,720.0,35280.0
146,85,802,2,3,553,1,3,10800.0,1620.0,30780.0
147,83,999,1,,255,2,2,15000.0,0.0,30000.0
148,133,176,1,,462,1,2,12000.0,2400.0,21600.0
149,405,801,1,,607,2,1,15000.0,0.0,15000.0
150,143,1113,1,,751,1,3,12600.0,3780.0,34020.0
151,551,810,2,4,,2,3,15750.0,945.0,46305.0
152,113,581,2,4,704,1,2,12000.0,2400.0,21600.0
153,113,581,2,4,704,1,1,12000.0,600.0,11400.0
154,521,1284,2,2,3026,1,2,12000.0,480.0,23520.0
155,521,1284,2,2,3026,2,3,16500.0,4950.0,44550.0
156,355,1333,1,,2902,2,1,15750.0,315.0,15435.0
157,425,24,2,2,806,1,3,12600.0,3780.0,34020.0
158,425,24,2,2,806,2,3,15000.0,2250.0,42750.0
159,21,1222,2,1,1895,1,1,13200.0,264.0,12936.0
160,261,63,2,1,2180,1,1,10800.0,1080.0,9720.0
161,50,1078,1,,2864,1,2,12000.0,2400.0,21600.0
162,183,1091,1,,2787,1,3,13200.0,0.0,39600.0
163,385,524,1,,3173,1,2,12000.0,0.0,24000.0
164,594,1229,1,,1458,1,3,13200.0,792.0,38808.0
165,563,458,2,4,2845,2,1,15000.0,300.0,14700.0
166,109,68,1,,1466,1,1,12000.0,240.0,11760.0
167,355,959,2,4,2706,1,3,13200.0,1980.0,37620.0
168,608,356,2,1,3167,1,3,12000.0,0.0,36000.0
169,541,530,1,,1284,2,1,15000.0,300.0,14700.0
170,37,1420,1,,1268,1,1,10800.0,216.0,10584.0
171,37,1420,1,,1268,2,3,15000.0,900.0,44100.0
172,191,279,2,3,954,2,3,15000.0,4500.0,40500.0
173,191,279,2,3,954,1,1,12000.0,1200.0,10800.0
174,164,779,2,3,206,2,1,15000.0,0.0,15000.0
175,59,1383,1,,3141,2,2,15000.0,1500.0,28500.0
