shipment_sk,shipped_date_sk,delivered_date_sk,customer_sk,channel_sk,store_sk,ship_addr_sk,status,carrier,tracking_number
1,332,335,356,1,,599,DELIVERED,Correo Argentino,TRK-LM6S0ZIUQ6
2,32,36,601,1,,2538,READY,Correo Argentino,TRK-S7JYRIGG48
3,424,426,1234,1,,3067,DELIVERED,Correo Argentino,TRK-YI8R5NTIPW
4,427,431,156,1,,511,DELIVERED,Correo Argentino,TRK-UWNN6LXYNU
5,90,91,616,2,4,4,DELIVERED,PICKUP,
6,72,73,614,2,2,2,DELIVERED,PICKUP,
7,563,567,188,1,,1152,DELIVERED,Correo Argentino,TRK-UCA7R6D2X6
8,317,320,17,1,,2581,DELIVERED,Correo Argentino,TRK-EEAFDZHDID
9,239,241,1148,1,,494,DELIVERED,Correo Argentino,TRK-99ZZCRAXY6
10,91,94,1037,1,,978,SHIPPED,Correo Argentino,TRK-M4QI31HO4X
11,73,74,1336,2,1,1,DELIVERED,PICKUP,
12,534,535,1239,2,4,4,DELIVERED,PICKUP,
13,222,223,1426,2,3,3,DELIVERED,PICKUP,
14,448,449,862,2,1,1,SHIPPED,PICKUP,
15,597,602,181,1,,2921,SHIPPED,Correo Argentino,TRK-TEL745CSF0
16,,,700,1,,807,CANCELLED,Correo Argentino,
17,606,611,475,1,,2562,DELIVERED,Correo Argentino,TRK-2QJED48Q5H
18,416,417,753,2,2,2,DELIVERED,PICKUP,
19,,,1151,1,,1695,CANCELLED,Correo Argentino,
20,478,482,793,1,,2616,DELIVERED,Correo Argentino,TRK-LU2ZLGLEOH
21,128,132,866,1,,2378,DELIVERED,Correo Argentino,TRK-UD7KW642LM
22,633,635,1110,1,,1549,DELIVERED,Correo Argentino,TRK-4588YSVCZA
23,91,92,854,2,1,1,DELIVERED,PICKUP,
24,552,553,379,2,3,3,DELIVERED,PICKUP,
25,427,428,441,2,2,2,DELIVERED,PICKUP,
26,605,609,125,1,,516,DELIVERED,Correo Argentino,TRK-YJMLEQMJ1S
27,348,351,1201,1,,301,DELIVERED,Correo Argentino,TRK-IWZB9131BN
28,338,341,1055,1,,1862,DELIVERED,Correo Argentino,TRK-F7ZF8SQ633
29,139,143,382,1,,1423,DELIVERED,Correo Argentino,TRK-NW8EX6WAQP
30,624,629,1456,1,,1425,DELIVERED,Correo Argentino,TRK-SNH0E9H2BV
31,526,527,1377,2,4,4,SHIPPED,PICKUP,
32,496,497,1375,2,4,4,SHIPPED,PICKUP,
33,441,443,821,1,,924,DELIVERED,Correo Argentino,TRK-AF3QHYH0G0
34,160,161,1475,2,4,4,DELIVERED,PICKUP,
35,322,323,634,2,2,2,DELIVERED,PICKUP,
36,12,13,585,2,1,1,DELIVERED,PICKUP,
37,269,272,180,1,,1863,DELIVERED,Correo Argentino,TRK-JI1IJOL9GD
38,27,31,482,1,,2325,DELIVERED,Correo Argentino,TRK-B103OLM2ZZ
39,33,34,620,2,1,1,DELIVERED,PICKUP,
40,144,145,603,2,1,1,DELIVERED,PICKUP,
41,,,1028,1,,1149,CANCELLED,Correo Argentino,
42,14,15,1005,2,3,3,DELIVERED,PICKUP,
43,272,274,790,1,,33,DELIVERED,Correo Argentino,TRK-T6YEYXIY47
44,143,148,665,1,,2043,SHIPPED,Correo Argentino,TRK-4BKBFC142A
45,612,614,562,1,,1135,DELIVERED,Correo Argentino,TRK-OE8JOVHWT3
46,33,38,998,1,,1984,DELIVERED,Correo Argentino,TRK-78RSWE9YNS
47,13,17,276,1,,493,DELIVERED,Correo Argentino,TRK-ENFRRYBCN7
48,68,69,1469,2,2,2,DELIVERED,PICKUP,
49,257,258,408,2,2,2,READY,PICKUP,
50,224,225,1360,2,2,2,DELIVERED,PICKUP,
51,208,212,1423,1,,665,DELIVERED,Correo Argentino,TRK-2UFL9MQ11P
52,260,263,741,1,,1867,DELIVERED,Correo Argentino,TRK-TL9JNTSSQA
53,310,312,969,1,,1612,DELIVERED,Correo Argentino,TRK-RK6C2JA3AN
54,,,729,1,,458,CANCELLED,Correo Argentino,
55,76,77,251,2,4,4,SHIPPED,PICKUP,
56,570,571,1087,2,1,1,SHIPPED,PICKUP,
57,469,472,659,1,,1891,DELIVERED,Correo Argentino,TRK-F94E82XEU7
58,418,419,338,2,4,4,DELIVERED,PICKUP,
59,,,1068,1,,2075,CANCELLED,Correo Argentino,
60,184,189,958,1,,2539,DELIVERED,Correo Argentino,TRK-GYMRRQSRNH
61,,,428,2,4,4,CANCELLED,PICKUP,
62,427,430,1337,1,,88,DELIVERED,Correo Argentino,TRK-1JVAA08D71
63,358,359,1442,2,3,3,DELIVERED,PICKUP,
64,152,154,939,1,,410,DELIVERED,Correo Argentino,TRK-4QRWG4O3VS
65,430,432,1409,1,,311,DELIVERED,Correo Argentino,TRK-GHR4X51MO5
66,262,266,1062,1,,1403,DELIVERED,Correo Argentino,TRK-Y0WLIWLAP3
67,,,988,1,,138,CANCELLED,Correo Argentino,
68,468,473,778,1,,1252,DELIVERED,Correo Argentino,TRK-WPHKOKPY98
69,337,340,77,1,,624,SHIPPED,Correo Argentino,TRK-95ADJ6QXJ8
70,165,170,700,1,,480,DELIVERED,Correo Argentino,TRK-75UERJVV88
71,573,577,425,1,,432,SHIPPED,Correo Argentino,TRK-SHAJ4MH7LK
72,204,205,1271,2,3,3,DELIVERED,PICKUP,
73,34,39,1129,1,,2540,SHIPPED,Correo Argentino,TRK-NH83FI4OJA
74,343,346,1224,1,,1123,SHIPPED,Correo Argentino,TRK-3BTEYU6C8K
75,350,356,446,1,,2068,DELIVERED,Correo Argentino,TRK-NQPTS0MMBB
76,448,452,867,1,,2685,DELIVERED,Correo Argentino,TRK-A7O7MMZ1H4
77,62,64,127,1,,3189,DELIVERED,Correo Argentino,TRK-Z56VK3U0QJ
78,339,340,874,2,1,1,SHIPPED,PICKUP,
79,376,379,814,1,,2367,DELIVERED,Correo Argentino,TRK-N8XZ4OSU2M
80,626,630,1189,1,,840,SHIPPED,Correo Argentino,TRK-XADN2TVDNH
81,317,322,584,1,,69,DELIVERED,Correo Argentino,TRK-S1OQO0J4EA
82,400,403,1433,1,,953,DELIVERED,Correo Argentino,TRK-LSXL8NV9UZ
83,631,634,670,1,,3103,DELIVERED,Correo Argentino,TRK-4U2I1W5ENR
84,42,46,464,1,,842,DELIVERED,Correo Argentino,TRK-3QNYBMC06W
85,331,334,535,1,,153,SHIPPED,Correo Argentino,TRK-LWD8M7AMND
86,427,429,655,1,,2185,DELIVERED,Correo Argentino,TRK-0RBFVTM6X4
87,597,599,833,1,,2251,DELIVERED,Correo Argentino,TRK-A169DTQM73
88,,,490,1,,1449,CANCELLED,Correo Argentino,
89,35,40,360,1,,1460,DELIVERED,Correo Argentino,TRK-TBUL818CS4
90,536,539,1227,1,,1176,DELIVERED,Correo Argentino,TRK-BJOJ02WY0U
91,28,32,624,1,,38,DELIVERED,Correo Argentino,TRK-E1JQQXF2A8
92,49,51,228,1,,2302,DELIVERED,Correo Argentino,TRK-9YZ6V1VTIX
93,166,168,770,1,,776,DELIVERED,Correo Argentino,TRK-UO5Q5LF7GD
94,319,320,54,2,2,2,DELIVERED,PICKUP,
95,362,363,1006,2,4,4,SHIPPED,PICKUP,
96,635,639,247,1,,1295,DELIVERED,Correo Argentino,TRK-RRS7KQI5WW
97,509,510,1127,2,3,3,DELIVERED,PICKUP,
98,164,165,757,2,2,2,DELIVERED,PICKUP,
