session_id,date_sk,customer_sk,channel_sk,started_at,ended_at,source,device
11000000000,33,791.0,,2024-02-02 15:54:00,2024-02-02 16:05:00,ads,desktop
11000000001,573,332.0,,2025-07-26 11:49:20,2025-07-26 11:57:20,direct,desktop
11000000002,156,,,2024-06-04 03:04:56,2024-06-04 03:06:56,email,mobile
11000000003,84,771.0,,2024-03-24 15:50:13,2024-03-24 16:30:13,ads,mobile
11000000004,235,908.0,,2024-08-22 16:47:04,2024-08-22 17:00:04,direct,mobile
11000000005,82,1222.0,,2024-03-22 05:51:18,2024-03-22 06:30:18,referral,mobile
11000000006,277,490.0,,2024-10-03 07:29:04,2024-10-03 07:51:04,ads,mobile
11000000007,285,705.0,,2024-10-11 18:15:07,2024-10-11 19:09:07,ads,mobile
11000000008,436,1161.0,,2025-03-11 19:44:43,2025-03-11 19:53:43,direct,mobile
11000000009,121,841.0,,2024-04-30 03:13:06,2024-04-30 03:26:06,ads,mobile
11000000010,480,,,2025-04-24 23:24:36,2025-04-25 00:01:36,referral,mobile
11000000011,40,162.0,,2024-02-09 05:29:50,2024-02-09 06:04:50,social,mobile
11000000012,65,,,2024-03-05 12:41:03,,social,mobile
11000000013,623,1477.0,,2025-09-14 06:05:32,2025-09-14 07:03:32,ads,mobile
11000000014,164,,,2024-06-12 03:41:37,2024-06-12 03:44:37,social,mobile
11000000015,606,60.0,,2025-08-28 02:39:38,2025-08-28 03:35:38,ads,desktop
11000000016,82,520.0,,2024-03-22 00:57:44,2024-03-22 01:13:44,direct,mobile
11000000017,307,,,2024-11-02 21:14:41,2024-11-02 21:58:41,email,desktop
11000000018,97,,,2024-04-06 23:36:11,2024-04-07 00:21:11,direct,mobile
11000000019,159,,,2024-06-07 05:25:21,2024-06-07 06:21:21,ads,desktop
11000000020,149,575.0,,2024-05-28 03:18:27,2024-05-28 03:55:27,direct,mobile
11000000021,483,508.0,,2025-04-27 23:37:39,2025-04-28 00:14:39,direct,desktop
11000000022,384,,,2025-01-18 23:14:34,2025-01-18 23:29:34,ads,mobile
11000000023,169,,,2024-06-17 06:59:44,2024-06-17 07:32:44,ads,desktop
11000000024,224,99.0,,2024-08-11 11:31:53,2024-08-11 12:07:53,direct,mobile
11000000025,480,1277.0,,2025-04-24 12:04:45,2025-04-24 12:25:45,ads,mobile
11000000026,2,,,2024-01-02 22:43:00,,direct,mobile
11000000027,489,95.0,,2025-05-03 12:29:17,2025-05-03 12:35:17,direct,tablet
11000000028,451,1286.0,,2025-03-26 23:10:58,2025-03-26 23:49:58,direct,mobile
11000000029,67,1176.0,,2024-03-07 21:17:05,2024-03-07 21:38:05,direct,mobile
11000000030,275,1053.0,,2024-10-01 10:32:08,2024-10-01 11:26:08,ads,desktop
11000000031,209,290.0,,2024-07-27 16:49:46,2024-07-27 16:59:46,ads,mobile
11000000032,17,357.0,,2024-01-17 07:46:02,2024-01-17 08:11:02,direct,mobile
11000000033,5,391.0,,2024-01-05 15:19:41,2024-01-05 15:37:41,ads,mobile
11000000034,608,830.0,,2025-08-30 07:25:30,2025-08-30 07:32:30,direct,desktop
11000000035,569,1076.0,,2025-07-22 19:20:42,2025-07-22 19:56:42,ads,desktop
11000000036,201,,,2024-07-19 22:49:39,2024-07-19 22:58:39,referral,mobile
11000000037,375,622.0,,2025-01-09 09:17:08,2025-01-09 10:05:08,email,desktop
11000000038,495,990.0,,2025-05-09 07:15:24,2025-05-09 07:16:24,social,mobile
11000000039,471,902.0,,2025-04-15 08:05:16,2025-04-15 08:25:16,direct,desktop
11000000040,570,572.0,,2025-07-23 18:19:47,,direct,mobile
11000000041,22,1088.0,,2024-01-22 22:31:25,2024-01-22 22:39:25,direct,mobile
11000000042,314,1101.0,,2024-11-09 00:09:07,2024-11-09 00:57:07,referral,mobile
11000000043,152,833.0,,2024-05-31 20:02:45,2024-05-31 20:53:45,direct,mobile
11000000044,155,,,2024-06-03 03:57:40,2024-06-03 04:24:40,ads,mobile
11000000045,363,1371.0,,2024-12-28 04:37:40,2024-12-28 04:41:40,direct,mobile
11000000046,180,1090.0,,2024-06-28 21:31:14,2024-06-28 22:18:14,direct,mobile
